,ID,NAME
91,UCDCJyLpbfgeVE9iZiEam-Kg,中華電視公司
92,UCyD3eaCai2yyWZEuczgZ-fw,I'm Charlie
93,UCclEnpUoaP35pnvWvYmnODA,梅伯
94,UCZxdOVXIBEnJUQkhZgeOTTg,蔡依林官方專屬頻道 Jolin Tsai's Official Channel
95,UCmsVtCaQNb5lvmKpYaqZJTg,江小M - SmallM ლ(⁰⊖⁰ლ)
96,UCiw1PpoyhQ-CbgIgG_2_Jsg,懶熊
97,UCghPiQIi_uyjF1YHKj-FhGw,台客劇場 TKstory
98,UC1krNaypYa_vx9W2Kvku8Xw,小伶玩具 (Xiaoling Toys)
99,UC7S48XRADBqamQbgLxpBFcQ,Eric周興哲
100,UCec6QE03CMLgtf0f1-uDdbw,加點吉拿棒
101,UCVwSuEeMi-w92Hx3xKfq0iw,TGOP 這群人私生活
102,UChLEhd2gouo1H-c9Zy9WGDA,台灣蘋果日報
103,UCrBq9GPtUdKaYpiTFY_E4VA,百變沛莉 Peri
104,UCdz-LcN65kBCBrQVGw4ZEmQ,阿啾小劇場
105,UCmz9AByDgj_tLgpXXQMhxJQ,羅伊 Royz
106,UC5G3hwgMUUlouYTgI_OVPuA,魯蛋的頻道
107,UCtcaZ5FUqaNXGX6xhpiGPQA,蔡阿嘎 Life
108,UC2VmWn8dAqkzlQqvy02E1PA,民視綜合頻道
109,UCFtUq0ml-coWmD70Pt_urRA,台灣索尼音樂 Sony Music Taiwan
110,UCgHUl1pwUVfrX8QotB-t2gQ,林辰 Buchi
111,UCk0TqVyUcT3VDYzF2A8MvCw,腦補給
112,UCYgpfeq5JyEo_pPmu-4VLiA,阿兜仔不教美語
113,UCWHlzo1HmN2McgpEuAORDzw,台灣華納日韓官方頻道
114,UCQQWDKpvBfeRmsvoVs4P5Fw,Aoi Chen
115,UCohOr1LlszMeXkSPCU9T2ng,阿斗归来了
116,UC2TuODJhC03pLgd6MpWP0iw,三立LIVE新聞
117,UCOa5IFY_zbL5UHkDjFNuYOw,Sara Shang
118,UCLW_SzI9txZvtOFTPDswxqg,木曜4超玩
119,UCYt4edni1As9kExL9Q0YEuA,羅小白 S.white 官方頻道
